date,price
2023-07-19,1155.8953922129358
2023-07-20,1156.273581485613
2023-07-21,1164.210730900684
2023-07-22,1165.239441139984
2023-07-23,1148.9004273751245
2023-07-24,1157.706030410578
2023-07-25,1129.61378881353
2023-07-26,1129.314241478824
2023-07-27,1132.3337824911316
2023-07-28,1140.3957367107248
2023-07-29,1144.3261154762774
2023-07-30,1147.6309980102703
2023-07-31,1145.9545591808935
2023-08-01,1139.9048695707058
2023-08-02,1186.049648514865
2023-08-03,1156.7278225334421
2023-08-04,1185.9210323223201
2023-08-05,1176.8881243220167
2023-08-06,1183.6609926465758
2023-08-07,1185.43975800129
2023-08-08,1184.6391500002098
2023-08-09,1201.3301588126521
2023-08-10,1196.4313756664196
2023-08-11,1180.347745001019
2023-08-12,1175.912333972198
2023-08-13,1178.2847031417907
2023-08-14,1179.151267918237
2023-08-15,1193.0412473698643
2023-08-16,1179.46365483509
2023-08-17,1157.7851210134531
2023-08-18,1083.9683918346755
2023-08-19,1073.4501833434533
2023-08-20,1078.9521733101658
2023-08-21,1074.369041618592
2023-08-22,1048.7717753704671
2023-08-23,1041.1828603918357
2023-08-24,1051.3049797867682
2023-08-25,1065.6611476916905
2023-08-26,1063.3098528567336
2023-08-27,1053.398365198134
2023-08-28,1063.2776939855669
2023-08-29,1065.7933927030888
2023-08-30,1100.3097912199494
2023-08-31,1094.040552182563
2023-09-01,1073.1658709518892
2023-09-02,1057.0542682093117
2023-09-03,1059.6226410157367
2023-09-04,1059.8340035492827
2023-09-05,1062.622617943961
2023-09-06,1065.0351146820553
2023-09-07,1070.8440334069564
2023-09-08,1078.696287698474
2023-09-09,1070.0389689803349
2023-09-10,1067.8181547937247
2023-09-11,1057.7800866001824
2023-09-12,1014.7407146099819
2023-09-13,1046.61246550858
2023-09-14,1044.7947443570713
2023-09-15,1033.4227431713387
2023-09-16,1041.927391755616
2023-09-17,1045.8020568251798
2023-09-18,1054.0663828918568
2023-09-19,1048.141464977037
2023-09-20,1057.0206977701298
2023-09-21,1045.3402899950568
2023-09-22,1039.9865930301598
2023-09-23,1041.749716310222
2023-09-24,1038.7388784233508
2023-09-25,1027.2791920367467
2023-09-26,1043.563778017732
2023-09-27,1059.0215293334318
2023-09-28,1069.2746713510774
2023-09-29,1081.9721128111537
2023-09-30,1082.7895829460547
2023-10-01,1080.4624184178997
2023-10-02,1099.4750313738482
2023-10-03,1087.6275943064154
2023-10-04,1103.7283528793885
2023-10-05,1100.08839483329
2023-10-06,1089.1990744729728
2023-10-07,1099.8955261474732
2023-10-08,1092.2781271368071
2023-10-09,1088.9703288126352
2023-10-10,1056.582011690545
2023-10-11,1054.2231513144145
2023-10-12,1043.1465474300749
2023-10-13,1034.732027499369
2023-10-14,1045.4938853038661
2023-10-15,1049.4027779028295
2023-10-16,1058.8174833522687
2023-10-17,1082.8539831910632
2023-10-18,1066.2758603129103
2023-10-19,1064.0654270942132
2023-10-20,1070.0581753236777
2023-10-21,1068.3797745485806
2023-10-22,1078.4584843725256
2023-10-23,1096.8932459140208
2023-10-24,1144.4319535898687
2023-10-25,1123.8226521891636
2023-10-26,1108.8798463577175
2023-10-27,1112.519371471548
2023-10-28,1124.9790322921567
2023-10-29,1131.6982408441443
2023-10-30,1135.532465409785
2023-10-31,1151.6948678335789
2023-11-01,1141.006093391247
2023-11-02,1129.1390386720886
2023-11-03,1148.569959270995
2023-11-04,1130.9581468695646
2023-11-05,1166.2571514968338
2023-11-06,1197.0186388703794
2023-11-07,1237.9871979620614
2023-11-08,1199.7096540392552
2023-11-09,1214.435276021078
2023-11-10,1240.5859978937585
2023-11-11,1231.028510346558
2023-11-12,1234.3890501299127
2023-11-13,1216.246316300527
2023-11-14,1184.5118766399687
2023-11-15,1178.2638660277103
2023-11-16,1233.3878583029252
2023-11-17,1181.1140602692783
2023-11-18,1198.4215536799657
2023-11-19,1201.1036312160397
2023-11-20,1203.8666171349446
2023-11-21,1229.695081501667
2023-11-22,1117.0958919532138
2023-11-23,1158.406411484684
2023-11-24,1146.2606661127693
2023-11-25,1141.672563616074
2023-11-26,1148.3377567793245
2023-11-27,1137.561903024881
2023-11-28,1112.7289478160749
2023-11-29,1118.074483581188
2023-11-30,1114.5345652646142
2023-12-01,1120.8060202575257
2023-12-02,1114.977940869736
2023-12-03,1118.9197791100678
2023-12-04,1122.340370861996
2023-12-05,1153.5013905911399
2023-12-06,1139.3245104489545
2023-12-07,1125.8029332213382
2023-12-08,1143.9307337234072
2023-12-09,1178.6938856774268
2023-12-10,1173.1021712013498
2023-12-11,1180.3306050107071
2023-12-12,1216.1433261172156
2023-12-13,1266.052849382124
2023-12-14,1240.8876533189843
2023-12-15,1246.5283101818584
2023-12-16,1208.1975987433063
2023-12-17,1205.6991239732815
2023-12-18,1181.4498972756835
2023-12-19,1180.7632181338925
2023-12-20,1227.0175260499655
2023-12-21,1279.439770425716
2023-12-22,1323.7353389311872
2023-12-23,1318.885428815198
2023-12-24,1318.051774444667
2023-12-25,1286.2260837126412
2023-12-26,1307.1570491357174
2023-12-27,1430.6957791582793
2023-12-28,1561.32447218083
2023-12-29,1568.9133813906737
2023-12-30,1521.8421366787668
2023-12-31,1540.5461687000425
2024-01-01,1514.6274903150172
2024-01-02,1528.0515230593926
2024-01-03,1536.8564714219124
2024-01-04,1556.11030223552
2024-01-05,1582.7627499221096
2024-01-06,1546.070022602747
2024-01-07,1499.340587039863
2024-01-08,1474.5921692763297
2024-01-09,1482.6187326864804
2024-01-10,1477.0139510579866
2024-01-11,1494.1594541657198
