date,price
2024-01-14,208020.77408225503
2024-01-15,202901.4353111383
2024-01-16,207127.81014347603
2024-01-17,212577.30284467357
2024-01-18,210818.5234030566
2024-01-19,203315.52286719534
2024-01-20,205155.0402088439
2024-01-21,205258.33415959126
2024-01-22,204810.16349650614
2024-01-23,197120.70204133497
2024-01-24,197322.98160002186
2024-01-25,197970.19300249877
2024-01-26,196384.54209043266
2024-01-27,205802.37775694137
2024-01-28,207022.09754222078
2024-01-29,206549.5386170699
2024-01-30,214256.87437574466
2024-01-31,212397.0657898229
2024-02-01,210923.42099918815
2024-02-02,211748.95197903545
2024-02-03,214515.00239258894
2024-02-04,213547.6615174138
2024-02-05,211686.86953370404
2024-02-06,212623.8393318638
2024-02-07,213879.15913653962
2024-02-08,219949.47728880597
2024-02-09,226396.65718621353
2024-02-10,233476.91091327934
2024-02-11,236628.49487658223
2024-02-12,238844.90863741553
2024-02-13,247933.35917164106
2024-02-14,246348.1820880832
2024-02-15,257381.60435791657
2024-02-16,258424.70195684972
2024-02-17,259115.8958600183
2024-02-18,256722.16683771834
2024-02-19,259041.51592966943
2024-02-20,256631.93547969218
2024-02-21,257664.0908001212
2024-02-22,255916.58450094797
2024-02-23,254739.73472396232
2024-02-24,253976.62060892783
2024-02-25,257512.8733902627
2024-02-26,258387.16897266597
2024-02-27,271328.6306894937
2024-02-28,281249.7005692042
2024-02-29,310841.0823618103
2024-03-01,304731.82548159425
2024-03-02,309305.2758299868
2024-03-03,307527.6596444732
2024-03-04,312322.27128653094
2024-03-05,337278.4254495276
2024-03-06,318796.0131743642
2024-03-07,327091.6369781436
2024-03-08,330379.65947493265
2024-03-09,340223.61761588405
2024-03-10,341198.63309549127
2024-03-11,343969.12172972877
2024-03-12,359145.2364804242
2024-03-13,355198.9990285558
2024-03-14,363347.0705608165
2024-03-15,356685.99424270133
2024-03-16,347238.62401723716
2024-03-17,326226.51413870906
2024-03-18,341751.21747395187
2024-03-19,340616.61172098544
2024-03-20,312613.5479393641
2024-03-21,336904.7230348707
2024-03-22,326093.92156392965
2024-03-23,317729.40105655545
2024-03-24,321609.0142029248
2024-03-25,336587.1583014908
2024-03-26,347855.33224856947
2024-03-27,348812.45543792547
2024-03-28,346602.4352869152
2024-03-29,354668.1978296742
2024-03-30,350658.046950445
2024-03-31,349571.01882974646
2024-04-01,357282.087389184
2024-04-02,352774.89944563905
2024-04-03,331514.55431592354
2024-04-04,333284.4212945559
2024-04-05,346748.01999827527
2024-04-06,344393.2351679221
2024-04-07,349563.50253536826
2024-04-08,350924.1393571046
2024-04-09,359940.1786073541
2024-04-10,346422.56271907286
2024-04-11,357414.1880303094
2024-04-12,356976.12308715936
2024-04-13,344229.8996588399
2024-04-14,329656.0992658255
2024-04-15,336561.5657180522
2024-04-16,328900.19912074687
2024-04-17,336903.03599332843
2024-04-18,321007.7791808661
2024-04-19,332729.1305004471
2024-04-20,332965.81691793667
2024-04-21,337652.1498916195
2024-04-22,338169.39837505174
2024-04-23,345377.5099496828
2024-04-24,340800.479942232
2024-04-25,330846.67980777676
2024-04-26,332755.154751596
2024-04-27,326431.8612310228
2024-04-28,324973.2997459067
2024-04-29,322526.7288165604
2024-04-30,326548.4232163523
2024-05-01,315617.8073076282
2024-05-02,302908.365137984
2024-05-03,302269.4386335924
2024-05-04,318752.5558818061
2024-05-05,323729.24227758753
2024-05-06,324684.3038769481
2024-05-07,320707.7357929327
2024-05-08,316480.0426365337
2024-05-09,311544.0645519446
2024-05-10,324729.0454873876
2024-05-11,313988.35613419063
2024-05-12,313414.6896178748
2024-05-13,316544.3927417525
2024-05-14,324184.14306356956
2024-05-15,315806.4513405131
2024-05-16,340048.9835959074
2024-05-17,334801.3655671264
2024-05-18,342286.0783313335
2024-05-19,341562.1529772134
2024-05-20,338120.7187332582
2024-05-21,364623.09407718194
2024-05-22,359603.5858448232
2024-05-23,356463.0555346322
2024-05-24,349351.6016023684
2024-05-25,354152.6023690396
2024-05-26,357923.9120512933
2024-05-27,354279.71831271483
2024-05-28,358850.5993336676
2024-05-29,352705.12772382615
2024-05-30,351624.85362150264
2024-05-31,355777.0188210898
